TITLE = "Post Processing Tecplot"
VARIABLES = "X","Y","T"
ZONE T="BIG ZONE", I=52, J=52, DATAPACKING=POINT
-0.010000,-0.010000,1.000000
0.010000,-0.010000,1.000000
0.030000,-0.010000,1.000000
0.050000,-0.010000,1.000000
0.070000,-0.010000,1.000000
0.090000,-0.010000,1.000000
0.110000,-0.010000,1.000000
0.130000,-0.010000,1.000000
0.150000,-0.010000,1.000000
0.170000,-0.010000,1.000000
0.190000,-0.010000,1.000000
0.210000,-0.010000,1.000000
0.230000,-0.010000,1.000000
0.250000,-0.010000,1.000000
0.270000,-0.010000,1.000000
0.290000,-0.010000,1.000000
0.310000,-0.010000,1.000000
0.330000,-0.010000,1.000000
0.350000,-0.010000,1.000000
0.370000,-0.010000,1.000000
0.390000,-0.010000,1.000000
0.410000,-0.010000,1.000000
0.430000,-0.010000,1.000000
0.450000,-0.010000,1.000000
0.470000,-0.010000,0.999999
0.490000,-0.010000,0.999999
0.510000,-0.010000,0.999999
0.530000,-0.010000,0.999999
0.550000,-0.010000,0.999999
0.570000,-0.010000,0.999999
0.590000,-0.010000,0.999999
0.610000,-0.010000,0.999999
0.630000,-0.010000,0.999999
0.650000,-0.010000,0.999999
0.670000,-0.010000,0.999999
0.690000,-0.010000,0.999999
0.710000,-0.010000,0.999999
0.730000,-0.010000,0.999999
0.750000,-0.010000,1.000000
0.770000,-0.010000,1.000000
0.790000,-0.010000,1.000000
0.810000,-0.010000,1.000000
0.830000,-0.010000,1.000000
0.850000,-0.010000,1.000000
0.870000,-0.010000,1.000000
0.890000,-0.010000,1.000000
0.910000,-0.010000,1.000000
0.930000,-0.010000,1.000000
0.950000,-0.010000,1.000000
0.970000,-0.010000,1.000000
0.990000,-0.010000,1.000000
1.010000,-0.010000,1.000000
-0.010000,0.010000,1.000000
0.010000,0.010000,1.000000
0.030000,0.010000,1.000000
0.050000,0.010000,1.000000
0.070000,0.010000,1.000000
0.090000,0.010000,1.000000
0.110000,0.010000,1.000000
0.130000,0.010000,1.000000
0.150000,0.010000,1.000000
0.170000,0.010000,1.000000
0.190000,0.010000,1.000000
0.210000,0.010000,1.000000
0.230000,0.010000,1.000000
0.250000,0.010000,1.000000
0.270000,0.010000,1.000000
0.290000,0.010000,1.000000
0.310000,0.010000,1.000000
0.330000,0.010000,1.000000
0.350000,0.010000,1.000000
0.370000,0.010000,1.000000
0.390000,0.010000,1.000000
0.410000,0.010000,1.000000
0.430000,0.010000,1.000000
0.450000,0.010000,1.000000
0.470000,0.010000,1.000001
0.490000,0.010000,1.000001
0.510000,0.010000,1.000001
0.530000,0.010000,1.000001
0.550000,0.010000,1.000001
0.570000,0.010000,1.000001
0.590000,0.010000,1.000001
0.610000,0.010000,1.000001
0.630000,0.010000,1.000001
0.650000,0.010000,1.000001
0.670000,0.010000,1.000001
0.690000,0.010000,1.000001
0.710000,0.010000,1.000001
0.730000,0.010000,1.000001
0.750000,0.010000,1.000000
0.770000,0.010000,1.000000
0.790000,0.010000,1.000000
0.810000,0.010000,1.000000
